Date,Open,High,Low,Close,Adj Close,Volume
2022-04-20,0.171542,0.201503,0.168838,0.186944,0.186944,4218966
2022-04-21,0.186944,0.186944,0.166892,0.168208,0.168208,3868417
2022-04-22,0.168208,0.172464,0.150977,0.164002,0.164002,2179071
2022-04-23,0.164002,0.166685,0.157211,0.158632,0.158632,2214592
2022-04-24,0.158632,0.161959,0.149921,0.156447,0.156447,2364901
2022-04-25,0.156447,0.157364,0.134294,0.137319,0.137319,2694918
2022-04-26,0.137320,0.139933,0.115140,0.116155,0.116155,2409295
2022-04-27,0.116155,0.128895,0.113691,0.118468,0.118468,2829859
2022-04-28,0.118468,0.127031,0.112559,0.116276,0.116276,3351565
2022-04-29,0.116280,0.118025,0.098726,0.102439,0.102439,2192269
2022-04-30,0.102438,0.108405,0.099515,0.106870,0.106870,2168596
2022-05-01,0.106870,0.107369,0.093233,0.100811,0.100811,2264066
2022-05-02,0.100811,0.102867,0.085178,0.094353,0.094353,2091720
2022-05-03,0.094353,0.095399,0.081361,0.092322,0.092322,2331673
2022-05-04,0.092322,0.093301,0.079244,0.084100,0.084100,2137265
2022-05-05,0.084100,0.086550,0.076403,0.079928,0.079928,1897505
2022-05-06,0.079928,0.090552,0.077966,0.086243,0.086243,1406107
2022-05-07,0.086243,0.088652,0.079663,0.082338,0.082338,1729061
2022-05-08,0.082338,0.087393,0.069649,0.076659,0.076659,1708615
2022-05-09,0.076659,0.078272,0.064297,0.068028,0.068028,2272577
2022-05-10,0.068029,0.068354,0.063754,0.068073,0.068073,2054568
2022-05-11,0.068072,0.068385,0.044349,0.045538,0.045538,1738542
2022-05-12,0.045538,0.045934,0.036956,0.039851,0.039851,2020261
2022-05-13,0.039851,0.046117,0.038815,0.043322,0.043322,2464853
2022-05-14,0.043322,0.043423,0.036500,0.038214,0.038214,2346774
2022-05-15,0.038214,0.040248,0.036640,0.040216,0.040216,2994309
2022-05-16,0.040216,0.062932,0.039947,0.061418,0.061418,4066655
2022-05-17,0.061418,0.086464,0.061418,0.065779,0.065779,3762480
2022-05-18,0.065779,0.065779,0.056707,0.058283,0.058283,2352465
2022-05-19,0.058284,0.075258,0.058028,0.074562,0.074562,1570940
2022-05-20,0.074561,0.120164,0.070753,0.120163,0.120163,5196358
2022-05-21,0.120164,0.120164,0.091508,0.094706,0.094706,3562634
2022-05-22,0.094706,0.116393,0.092066,0.112756,0.112756,4398539
2022-05-23,0.112758,0.114403,0.081570,0.084937,0.084937,3589773
2022-05-24,0.084937,0.086091,0.073882,0.078998,0.078998,3215139
2022-05-25,0.078998,0.080865,0.071672,0.074260,0.074260,2580482
2022-05-26,0.074260,0.077425,0.071403,0.075013,0.075013,2830461
2022-05-27,0.075013,0.079568,0.071743,0.078203,0.078203,2572919
2022-05-28,0.080637,0.085134,0.078203,0.084966,0.084966,2500152
2022-05-29,0.084966,0.085449,0.075341,0.076701,0.076701,2342802
2022-05-30,0.076701,0.081670,0.073671,0.076794,0.076794,2484155
2022-05-31,0.076794,0.080193,0.073273,0.075593,0.075593,2356392
2022-06-01,0.075593,0.081207,0.075298,0.078463,0.078463,2433814
2022-06-02,0.078463,0.078672,0.074661,0.075738,0.075738,2210593
2022-06-03,0.075738,0.078438,0.070275,0.070305,0.070305,2635529
2022-06-04,0.070305,0.073087,0.068833,0.071162,0.071162,1421408
2022-06-05,0.071162,0.077396,0.069404,0.072405,0.072405,1812876
2022-06-06,0.072405,0.075069,0.071240,0.074221,0.074221,2893778
2022-06-07,0.074222,0.075054,0.070601,0.070964,0.070964,2491490
2022-06-08,0.070964,0.074850,0.070587,0.071521,0.071521,2433513
2022-06-09,0.071521,0.074726,0.070033,0.070689,0.070689,2041534
2022-06-10,0.070689,0.075245,0.070422,0.072183,0.072183,2809081
2022-06-11,0.072183,0.074683,0.067413,0.070169,0.070169,2363984
2022-06-12,0.070169,0.072809,0.064038,0.065528,0.065528,2171015
2022-06-13,0.065528,0.067748,0.061133,0.064572,0.064572,2521577
2022-06-14,0.064572,0.065833,0.059352,0.060568,0.060568,2925885
2022-06-15,0.060568,0.061365,0.057975,0.059814,0.059814,2131392
2022-06-16,0.059814,0.065588,0.057543,0.064901,0.064901,3030356
2022-06-17,0.064900,0.066429,0.060645,0.061020,0.061020,3114300
2022-06-18,0.061021,0.064940,0.050232,0.051272,0.051272,2231804
2022-06-19,0.051272,0.059933,0.050441,0.059124,0.059124,3022658
2022-06-20,0.059124,0.060165,0.052785,0.054021,0.054021,2817002
2022-06-21,0.054021,0.060236,0.053841,0.057464,0.057464,3002078
2022-06-22,0.057464,0.059840,0.053796,0.055667,0.055667,2750487
2022-06-23,0.055667,0.055982,0.048167,0.051384,0.051384,2743131
2022-06-24,0.051384,0.052631,0.047523,0.050209,0.050209,2193661
2022-06-25,0.050209,0.050827,0.046377,0.047006,0.047006,2787621
2022-06-26,0.047005,0.050348,0.046203,0.046721,0.046721,2641904
2022-06-27,0.046721,0.050789,0.045610,0.047470,0.047470,2403714
2022-06-28,0.047470,0.047862,0.039415,0.040331,0.040331,2268479
2022-06-29,0.040331,0.040331,0.036848,0.036963,0.036963,2481321
2022-06-30,0.036963,0.038131,0.032989,0.033124,0.033124,2434460
2022-07-01,0.033124,0.034011,0.028725,0.030354,0.030354,1105211
2022-07-02,0.030354,0.031504,0.028519,0.029298,0.029298,655190
2022-07-03,0.029298,0.032478,0.028691,0.029443,0.029443,576305
2022-07-04,0.029443,0.030587,0.027889,0.028854,0.028854,640694
2022-07-05,0.028854,0.029813,0.026901,0.028093,0.028093,635255
2022-07-06,0.028091,0.029075,0.027301,0.027524,0.027524,584393
2022-07-07,0.027524,0.029731,0.027405,0.028835,0.028835,602047
2022-07-08,0.028835,0.031688,0.027650,0.028731,0.028731,628763
2022-07-09,0.028731,0.028828,0.027833,0.028059,0.028059,595439
2022-07-10,0.028059,0.028188,0.027797,0.027834,0.027834,618626
2022-07-11,0.027834,0.029001,0.025274,0.026247,0.026247,653002
